content	label
一名警察要一位超速行驶的男士把车停在路边，之后开始了下面的问话调查： 警察：我能看一下你的驾驶执照吗？ 司机：我没有驾照，因为第五次酒后开车，我的驾照被吊销了。 警察：我可以看看你车子的牌照吗？ 司机：这不是我的车，是我偷人家的。 警察：车是偷的？ 司机：对。但是让我想一想……我想起来了，车主的牌照……噢，放在仪表签盘上的小柜子里面了。当我把我的手枪放进小柜子里时，我看见过车牌照。 警察：仪表盘上的小柜子里有一把手枪？ 司机：是的，先生。我杀了这部车的女主人，把她放进车后边的行李箱里，然后，把我的枪放进了那个小柜子里。 警察：你是说后备箱里有一具女尸？ 司机：是的，先生。 听到这里，警察大惊，立刻向警察局呼叫求援。很快，这部汽车被一群警察包围了。一名警官走向司机，去处理这一紧急情况。 警官：先生，我能看一下你的驾照吗？ 司机：当然可以，给。 警官：车是谁的？ 司机：我的，警官先生。这是我的牌照。 警官：你能打开仪表盘上的小柜子让我看看里面的手枪吗？ 司机：我可以打开小柜子，长官。但是，里面没有什么手枪。 小柜子打开了，里面果然没有手枪。 警官：我被告知你车尾的行李箱里藏着一具尸体。你不介意打开它吧？ 司机：没问题。 行李箱打开了，没有发现尸体。 警官：我不明白这是怎么回事。那名让你停车的警察说，你没有驾照，车是偷的，小柜子里有一把手枪，后备箱里装着一具尸体，难道是我们这位警察谎报吗？ 司机：那当然！他还谎报我超速行驶了呢。	3
学生：“老师，李白用的墨水是白色的吗？” 语文老师：“不是呀。” 学生：“那为什么书上说李白字太白？”	2
一个近视的人在大街上走着，突然刮起了一阵大风，吹走了他头上戴着的一顶黑帽子，他立即追了上去。这时，一名妇女对他喊道：“喂，先生，干什么呢你？” “我在追我的帽子！”他气喘吁吁地回答。 “你追的是我家的黑母鸡呀！”	3
妈妈：马丁，你真是个乖孩子，爸爸打瞌睡的时候，你能够这样静静地坐着，一点都没吵他！ 马丁：我只想等着看香烟烧到他的指头时他的反应。	3
去医院打针，一个小护士可能是实习的，比较紧张，拿针头扎了我十下都没找到血管。 我咬着牙说道:“大姐，你姓李是吧。” 她说：“你怎么知道？” 我说很简单啊，因为你一看就是传说中的李十针(时珍)。	1
某国男女青年们找到一个谈情说爱的理想地方，既不必担心警察干涉，又不用多花钱。这地方就是教堂。不过这样一来，却给教堂里的牧师添了不少麻烦。 于是有位牧师在教堂门口贴出一张告示，上面写着：本教堂晚上十点熄灯。 可是，第二天晚上在教堂里谈恋爱的人仍然很多。牧师不明其中缘由，却见告示上多了一行小字：谢谢，我们不需要灯光。	3
有个害羞的小伙子告诉妈妈说，他要去同一位姑娘约会。 半小时以后，他回来了。 母亲问：谈得怎么样？ 很顺利。 见到了她吗？ 当然见到了，他咯咯地笑着说，不过，要是我不躲在大树后面的话，她也会看见我的。	3
父：咱们家你最喜欢谁？ 子：爸爸。 父：咱们家准最疼你？ 子：爸爸。 父：你跟咱们家谁最好？ 子：爸爸。 父：你怎么总是说我好？ 子：怕你打我。	3
刚才跟舍友说，下节课我不上了。 舍友问，为啥。 我直接来了句， 手机没电了。	3
初中英语老师是个秃子，一天上课，他问一个同学：what day is today?’（我的头是秃头？） 同学想了一下，回答：Yes.	1
律师走进牢房对犯人说：“我给你带来了两个消息，一个好的，一个坏的。” “先说坏消息吧。” “在被害者的尸体上发现了你留下的血迹。” “那好消息呢？” “血样分析显示，你身体很健康！”	3
乞丐：先生，给我一百块钱买袋方便面吃吧。 路人：你蒙小孩呢，买一袋方便面要花一百块钱？ 乞丐：不是啊，可是买批发的划算啊。	3
飞机起飞后，一位空中小姐给旅客发口香糖。你太客气了，这口香糖干什么用？一位第一次乘飞机的旅客问。 为了使你的耳朵不嗡嗡作响，先生。 飞机着陆后，这位先生对空中小姐说：这口香糖真管事！现在你能帮我把它从耳朵里取出来吗？	3
一天，甲气冲冲地跑到乙的家里。 “你为什么不接我的电话？” “我的手机被猫叼走了。” “那猫呢？” “爬到树上去了。” “那树呢？” “被伐木工人砍了。” “那伐木工人呢？” “掉进大坑里了。” “那大坑呢？” “被瓦匠填平了。” “那瓦匠呢？” “回家了。” “那他家呢？” “被水淹了。” “那水呢？” “被风吹干了。” “那风呢？” “被墙堵住了。” “那墙呢？” “被傻子弄倒了。” “那傻子呢？” “他现在正在跟我说话呢。”	3
晚上跟一对夫妇吃饭。女的有孕在身，说着说着，恨恨看了眼大腹便便的老公，摸肚子说：“孩子呀，真该让你爹怀你，你妈的肚子也就是个经济适用房，你爹那肚子可是个大户型！” 老公一拍颤巍巍的肚腩苦笑：“那是建筑面积，油摊太大，居住面积没多少。”	2
本人非常喜欢看笑话，更喜欢把有意思的笑话讲给别人听，有欢乐大家一起分享嘛！  上周五午休时，我又兴高采烈地把一个自认为非常搞笑的笑话讲给同事们听，大家开开心心地笑了一回，尤其是小宋，更是笑得直不起腰。  我很是得意，凭咱的表达、渲染能力，比那李金斗也差不了多少，不愧为名副其实的办公室笑星。  小宋笑够了，过来拍拍我的肩膀，说：嫣子，够交情才告诉你真相，你每次讲笑话我们都哈哈大笑，其实并不是因为你笑话讲得好，而是你每次讲的时候，都手舞足蹈、语无伦次，激动得不行，根本听不清你讲的是什么，但你的样子很可爱，比笑话更逗，真是太好玩儿了！哈哈哈……	3
刘玄石好酒，喝醉后痛苦不堪，发誓戒酒。 一日，刘玄石到中山酒家买酒，酒家给他喝一种千日方醒的千日酒，酒一沾嘴就把发的誓全忘了，大喝了一顿。回到家里便醉得像死人一样。家里人以为他被酒浇死了，就收殓埋葬了他。 1000天过去，酒家想起刘玄石，就到他家去探望，刘家人说：早就死了有3年了。酒家把千日酒的事说给家人听，于是急忙去打开棺材，刘玄石才刚刚醒来。	3
某承包商因为生意上的原因，准备用一辆新型豪华的小轿车向一位议员行贿。这位议员却板起脸说：先生，通常的行为准则以及我本人的基本荣誉感，都不允许我接受这样的礼物！ 承包商说：阁下，我很理解您所处的地位，这样吧，我以10美元的价格把这辆车卖给你。 议员考虑了片刻，断然答道：既然如此，我就买两辆。	3
同学女，性格比较爷们。 最近交了男友，被另外一个同学夸有女人味。 她问：“从哪里看出来？” “你以前都自称老子，最近变成了老娘。”	3
MM伤心地大哭不止。朋友上前劝道:“是不是感情受挫了？要想开点啊！” MM哭着说:“自从跟了这男人，我日防夜防，生怕他找小三！” 朋友大惊:“什么？他居然背叛你找别的女人了？” MM哭得更伤心了，说道:“今天我才知道，原来我才是小三！”	3
妻子：以前你经常送我玫瑰花，为什么现在一朵都不送了？ 丈夫：你见过渔夫钓到鱼后还喂它鱼饵吗？ 妻子：喂！你难道没养过金鱼吗？ 丈夫：养过啊，太费精神，后来喂猫了。	3
十岁的约翰从外面回来，手里拿着一张大面额钞票，对妈妈说：这是我在外面捡的！ 母亲不相信，问：果真是捡来的吗？ 是真的。约翰回答，我还看见那人在找呢？	3
小丽上班时间在吃八宝粥， 经理看见后生气地批评说：“太闲了是不是？” 小丽回答说“：不，一点儿也不咸，这是甜的。”	1
一天妈妈回家发现儿子在哭，就问她怎么回事。 儿子回答说：“刚才爸爸钉钉子时砸了手。” 妈妈很奇怪：“那你怎么会哭呢？” 儿子说：“因为当时我笑了……”	3
为了方便同学，宿舍值班室新增了一项功能——小卖铺。 一夜，几名同学晚归，只见楼门紧闭，店内一片漆黑。低喊几声，无人应答，遂敲门，仍无人应答。 大家正愁无法进入，忽一同学急中生智，大喊一声，‘方便面！’值班室的灯一下子就亮了，接着便是一声响亮的回应：“要什么牌子的？几袋？”	3
﻿唐代诗人孟浩然有首著名的五绝：春眠不觉晓，处处闻啼鸟，夜来风雨声，花落知多少。有人拍案叫绝，不时摇头晃脑再三吟诵；偏有个人不以为然，说：这是瞎子诗嘛。 听到此话的人一时哑口无言。	3
许多人在一起喝酒，一个人身上发痒，便搔了一下，忽然摸到一只虱子。怕别人嘲笑自己脏，忙把虱子丢在地下，装作体面的样子道：我还当它是虱子呢。 一个客人便拾起虱子细看着，对大家说：嘿，我还当它不是虱子呢。	3
一个有洁癖的旅客住进了一家高级酒店，他照例要检查所有客房设施的清洁程度。当他掀起床单，发现床底下有一张小纸片，他正准备捡起了纸片并且打电话投诉，突然发现纸片上写着一行小字：不要看了，这里已经打扫过了。	3
我曾梳一条长长的辫子，小外甥女两岁时对我的大辫子极为祟拜。一天，我见她也梳了一条细细的小辫儿，便有意挑衅：宝宝，你头上的是什么啊？ 小辫儿！她极其热切地仰着脸说。 那，你看舅妈头上的是什么？ 大辫（便）！	1
小明和朋友一起路过一个西瓜档，看见里面有很多大西瓜，就问档主：西瓜甜不甜啊！ 肯定甜，不甜不收钱 哦。那就帮我挑一个不甜的吧！ ...........	3
一小学生问自然老师：“老师，电灯为什么要用两根电线？” 老师向他解释道：“一根电线让电进来，而另一根电线还要让电回去。” 小学生听后高兴地说：“那我们剪断一根电线好了！光让电进来，不让电回去，学校就再也不会停电了。”	3
汤姆在酒吧里看到一容貌美丽、气质高雅的女子。犹豫之后，他鼓起勇气，低声问：我能和你谈谈吗？ 女子高声叫了起来：不，我不和你睡觉！ 酒吧的人都把目光盯在他俩身上，汤姆非常尴尬，红着脸退回自己的座位。 过一会儿，女子走到汤姆身边，低声道：对不起，我是心理系的学生，只想试验一下，人们在极度尴尬情况下，反映如何。 汤姆高声叫道：你要两百美元？太贵了！	3
教师对王振华道：你手太脏了，像什么样子？倘使我手上如此，到学校里来，你见了，以为怎样？ 王振华道：我深知礼节，决不敢评论他人。	3
宿舍里一个哥们吃核桃遇到一个硬的！朋友告诉他扔了。 可他说：不信今天搞不开。于是脚跺、凳子砸，还是完好无损！ 最后他拿到门缝里夹！猛的一下！嘣一下，核桃完好的在地上打滚，宿舍门却掉了下来。 最后核桃没吃上还花了100多块修了修门。	3
食堂的师傅估计是失恋了，因为我发现新更换的菜单别有一番风景：销魂藕片、断肠人拍黄瓜、小胖拉皮、追忆扁豆、黯然豆腐丝、纯情木须肉。	2
一场足球赛结束后，一对热恋的男女。 女的突然对男方说：我要和你分手。 男的充满疑惑的看着女的：为什么，你不爱我了吗？ 女的非常气愤对男的说：你不尊重我的父亲！ 男的非常委屈的说：我没有，我真的没有呀，我对你父亲没做什么呀？ 女的非常恼怒的说：你骂我的父亲。 男的不知所措的说：什么我骂你的父亲？不可能的，你父亲是做什么的呀，我都不知道呀！ 女的大喊：我爸是足球裁判！！！！	3
这一天，一位漂亮的女孩在一个池塘边发现了一只非常大的青蛙。女孩惊讶极了，伸手就去捉青蛙。没想到，青蛙竟主动跳上了她的手掌。 接着，更令人惊奇的事发生了，青蛙开口说起了话：“亲爱的姑娘，我在这里已经等了你很久了。我本来是一位王子，很多年前因为得罪了一个巫婆，我被她施了咒语，就变成了现在得这个样子。只要你吻我一下，我马上就会恢复王子的模样。为了感谢你，我会把你娶进皇宫，跟我的父皇和母后生活在一起。婚后，你什么都不用做，只需为我准备一日三餐，给我洗洗衣服，生孩子，过着令全世界的女人都羡慕的生活。” 女孩一听，笑了。 晚上，女孩一边吃着美味的青蛙肉，一边自言自语道：“我可不想过那样的生活！”	3
可她从他身上浓浓的消毒药水味道，和他丰富的医学知识，猜想到他是个医护人员。 敢情他是个医生，怕学历不高的她自卑吧？她不禁窃喜。 在她再三追问之下，他腼腆坦白：不，我是怕你嫌弃，我……是个遗体化妆师。	3
一个男人失恋了，朋友安慰他说：“没有关系，你很快就会快忘了她，找到更好的女孩。” “不，我不可能很快忘了她！” 男人大喊：“我给她买了很多的东西都是分期付款的。”	3
奶茶妹妹大学四门挂科， 这是个很让人忧心的问题， 说明她做不到品学兼优心无杂念， 大学生不好好念书脑子里天天想着风花雪月， 这种思想要批判，要教育。 另外，要表扬那些好好学习的女生， 她们虽然丑，但是心无旁骛， 用心钻研功课，从不挂科。 更难得是她们洁身自好， 别说傍大老板了， 连男朋友都没有。	3
肉摊前，城管接过2斤肉递过100元，肉贩：找不开，下次再给吧。 菜摊前，城管接过两袋菜递过100元，菜贩：找不开，下次再给吧。 果摊前，城管接过1个西瓜递过100元，找回85元。 后来人们再也没见过那个卖水果的……	3
我们高中有一次要化验尿液，给每个人发了个塑料杯。 叫去厕所搞一点出来，我们一帮人都去了。 有个哥尿完了， 往出走，走到一半，骂了一句：“草，忘接了。”	3
我该怎么办呢？一个正在谈恋爱的小伙子向朋友讨教，母亲对我带回家的每个女朋友都不满意----朋友告诉他一个好办法：你选择一个各方面都和你母亲相似的姑娘试一下。小伙子哭丧着脸说：我已经试过了，但我父亲对这样的女人一刻也不能容忍！	3
又是一个补课的下午，又是那位啰嗦的老师，继续讲着哪些啰嗦的事。每次上课，他都会传授一些他当年的中考经历。 今天，他告诉我们说：在中考中要大胆（同学们一阵冷汗，以为是作弊），接着，他又说：要敢于上WC。想当年，我成绩优异，就是胆子太小。 导致了我今生难以原谅自己的错误……“急性膀胱炎。”	3
老师家访，问学生：“你们家幸福吗？” 学生骄傲地答道：“幸福！” 父亲跑过来给了他记耳光，骂道：“臭小子，谁让你改姓的！”	1
少先队大队会，高年级的姐姐问我的同桌：你的职务（植物）是什么？ 同桌很认真的答：我就养了棵仙人掌，本来还想养个含羞草的。	1
今天在校园里走着，突然迎面过来一女生问我：愿意做我男朋友吗? 哥愣了，没见过此女啊，而且哥自认还没帅到让人这么直接的份上。 这时女孩不耐烦的问道：到底愿不愿意? 哥考虑到女孩的自尊心就郑重的回答说：我愿意。 这时女孩拿起电话吼到：听见了吗?老娘不是没人要!	3
学校屡屡发生自行车失窃事件，有关领导责成有关部门加强防范。一天，两名保安人员巡逻到东宿舍区，发现有几个行迹可疑的年轻人正在停车棚外排徊张望，恐其人多势众，不敢上前查问。于是，两名保安立即用对讲机向保卫科要求增援。十分钟后，十余名增援人员急急赶来并形成合围之势。谁知那几个被包围的年轻人反倒迎了上来，并且低声说道：我们是校学生会的，今天刚开始值勤。	3
一个卖烧饼的把一个卖藕的给打了。 警察问他为什么，他说：“我只要一喊‘烧饼’！他就喊：藕拉……”	1
这是个十分顽皮的孩子，在娘的肚子里的时候就一天到晚的用脚往娘的肚皮上踢，踢得母亲好难受。 终于孩子出生了，就在孩子刚出生那一刻，母亲不急着看是男是女，也不顾及自己的疼痛，冲着孩子的脑门就是一指头，骂道：“小子，老娘忍你很久了。”	3
丈夫看完儿子日志怒打妻子，上面写着：今日陈叔叔来我家玩妈妈，说我做完作业后，可以吃点心。然后，陈叔叔夸我作业做的好，于是抱起了我妈，妈叫叔叔小心一点，之后叔叔又亲了我妈妈，也亲了我奶妈，也亲了我。 妻大怒问儿子，儿子哭道：标点符号点错了……	2
酒鬼：医生，我没钱买酒了，帮帮忙，给我开点药酒吧。 医生：药酒没有，只有别的酒。 酒鬼：行，我反正什么酒都能喝。 医生：碘酒怎么样？ 酒鬼：……	3
有送医士出门，犬适拦门而吠，主人喝之即止，医赞其能能解人意，主曰：虽则畜生，倒也还会依（音同医）人。	1
那时我正跟一个叫姜伟的小伙子交往。有一天，我给他打电话问他什么时候来接我下班，是个男人接的电话。 我问他：“姜儿（我惯用的昵称）在吗？” 他回答说：“我就是，请问您是谁？” 我说：“就是我呀。” 电话里的人一本正经地讲他不认识我，问我是否打错了。我觉得这肯定是姜伟在跟我开玩笑，也调侃地说：“我是丽安啊，上个月天天躺在你床上的女孩子，想起来了没？” 电话那头一阵沉默。过了一会，他回答：“对不起，我是老姜，我去叫我儿子来听电话。” “……”	3
幼儿园门口见两个小孩子聊天， 小女孩问小男孩：“有什么是你不会的吗？” 小男孩羞涩地说：“我不会离开你。” 「那你有什么不会的吗？」小男孩充满期待地问。 小女孩腼腆地笑了笑，说，「我不会喜欢你。」	3
近来老婆非常爱唠叨。 一天伴着老婆的唠叨刚躺下，老婆忽然用力地推了推我说：“你怎么不看看门窗、煤气、电灯都关好了没有就睡觉？” 我生气地嚷嚷：“放心吧，除了你的话匣子，该关的都关了！”	2
这天晚上，一个越剧团下乡搞露天演出，老李加班没去成。下班回家时，他在路上碰见看戏回来的朋友小何，便问他：“怎么样？演出好看吗？” 小何说：“人太多了，我去晚了，在后面什么也看不见，只能跳起来看几眼，后来跳累了就不看了，也没有什么好看的。” 不一会儿，李老又碰见了朋友老钱，问道：“你也看戏去了？” 老李又问他：“好不好看？” 没想到老钱十分恼火地说：“好看什么？戏没看多少，就看见前面有个神经病在那里跳来跳去的。”	3
一头发发白的老太在医院里的挂号处排队，看着排着长长的队，老太自语道：“今天怎么没有叫号的啊？” 过了一段时间，终于轮到了老太，谁知她拿出一张折子和厚厚的一沓钱递给负责挂号的姑娘，说：“闺女，给我存5000，活期的！”	3
我一朋友怀孕了，俗话说酸儿辣女， 刚开始想吃辣的，朋友们都说是女儿， 后来又想吃酸的，朋友就说是儿子， 过段时间又想吃辣的了，，高潮， 朋友惊讶的说，，是，，，是女汉子！	2
一女青年走进银行，拿出一张百元钞票要求破开。 银行职员接过来后，看了一下说：“对不起，这张是假钞。” 女青年一愣：“天啊，我被强奸了。”	3
煤气公司的门前排着长队，老王一连跑了好几天，仍旧带着一个空罐回家。 妻子问：灌上气了吗？ 老王答：灌得满满的。 妻子高兴地准备做饭，一连划了几根火柴也点不着火。 你灌的什么气啊？ 霉气。 怎么点不着呢？ 火在肚子里憋着呢！	2
弟弟：哥，我感冒了.... 哥哥：什么？你居然 “敢” “冒” ？你再给我“冒”一个看看！ 说完，哥哥又把弟弟摁进水缸。 原来兄弟俩在练习水下憋气。	1
有一次我和老公和另一对夫妻朋友一起吃饭，那对夫妇在饭局上忽然宣布妻子怀孕啦，我们那叫一个高兴啊，话说因为我和老公都是80后，这还是我们第一对要有孩子的朋友。于是我万分激动地脱口而出：“太棒了，孩子出生后我一定要做后妈！” 大家都安静了，我忽然意识到说错了，赶紧改口，“不对不对，我的意思是继母！”其实我想说的是干妈啦，，被老公嘲笑了一个晚上。	2
北宋大词人秦少游常常以自己的胡须多而美引以自豪。 有一次，他特意借用《论语·子罕》中的一句话，向苏东坡炫耀说：君子多乎（胡）哉？ 苏东坡立即应声回答说：小人樊（繁）须也！正好借用了《论语·子路》中的原话。 这一问一答，令当时在座的人个个笑得不亦乐乎。	1
地理考试时，老师要学生简略描述下列各地：阿拉伯、新加坡、好望角、罗马、名古屋、澳门。其中小明这样写：从前有个老公公，大家叫他阿拉伯。有一天他出去爬山，当他爬到新加坡的时候突然看见一只头上长着好望角的罗马直冲过来，吓的他拔腿跑进名古屋，赶紧关上澳门。	2
古时侯，有个国外使者前来我国进献宝贝，皇上问：“所献何物啊？” 使者道：“此物乃我国稀世珍宝‘三色宝珠’” 皇上“何谓‘三色宝珠’” 使者小心恭敬的献上宝物，解释道：“此珠若用刀切开，外面是褐色，中间呈白色，而里面却是黄红色。所以称之为‘三色宝珠’，极其罕见” 皇上命人呈上来后，仔细瞧了半天，笑道：“擦，这TM不是咸鸭蛋嘛！”	3
前几个礼拜， 我几个同事一起去小店 买衣服，讨价还价的时候， 一个同事本来想说：“我们都是做这个生意的， 你赚多少我会不知道吗？” 结果被她说的太简略了， 变成：“我们都是出来做的， 你赚多少我们会不知道吗？” 说完，她旁边的两个同事吓的赶快闪掉了。 就怕别人会认为她们是……	2
爸爸讲：凡物热则胀，冷必缩，这是一定的道理。 他儿子跳起来道：唷!原来如此，所以我昨天手上被火烫了一烫就激起一个泡了。	3
天屎：我可以实现你的一个愿望。 小明：我要考试成绩好。 天屎:OK! 果然，他考了一百。 第二天，小明又要考试。小明乱做，还在卷子上画了老师的漫画像。 回家小明以为又考了一百，喜滋滋的拿给妈妈看卷子，结果零分，被妈妈暴打了一顿。 这就是梦与现实啊！	3
妻子：“隔壁老王的妻子喜怒无常，脾气坏透了，老王怎么和她相处的？” 丈夫：“难道你不知道老王是在市气象局工作的。”	2
