question1,question2,label,category
乙肝指标转阴算是痊愈吗,乙肝可以治愈了吗,0,hepatitis
高血压者喝什么饮料对身体有益一点,高血压可以高原工作吗,0,hypertension
?什么是高血压,女77岁因高血压心脏病入院脑CT报告；脑白质病变是什么概念,0,hypertension
糖尿病患者是否能上夜班,糖尿病人能熬夜么，要注意什,1,diabetes
糖尿病出现低血糖怎么办,糖尿病人血糖低了怎么办？,1,diabetes
我能确诊为糖尿病吗?,我想确定是否得了糖尿病,1,diabetes
艾滋病窗口期会出现发热症状吗,艾滋病窗口期的症状,0,aids
糖尿病白内障能做手术吗,糖尿病可以喝米汤吗,0,diabetes
糖尿病肾病生活方式禁忌,糖尿病肾病患者生活方式应注意哪些问题?,1,diabetes
颈椎病会引起高血压吗？我今年39岁高压,你好！颈椎病会引起高血压吗,1,hypertension
糖耐量试验怎么做,糖耐量试验的流程,1,diabetes
有糖尿病还有风湿病能拔罐子吗？,拔罐治糖尿病,1,diabetes
乙肝两对半是什么,什么是“乙肝两对半”,1,hepatitis
给糖尿病病人送什么好,看望糖尿病人买点什么,1,diabetes
贫血会引起糖尿病吗,糖尿病和贫血有关系吗,1,diabetes
生了一个月零7天才打第二针乙肝疫苗有没有影响,今天是不是打乙肝疫苗的最佳时间,1,hepatitis
口交感染艾滋病的几率是多少,无套口交有套性交会感染艾滋吗无套口交有套性交会感染艾滋吗,0,aids
糖尿病患者如何保持健康的心理?,13岁糖尿病男孩如何给予心理帮助,1,diabetes
高血压能吃钙片麽？,高血压能否吃钙片,1,hypertension
艾滋病可以通过口交传染吗,戴套口交能传染艾滋病吗,1,aids
乳腺癌脑转移怎么控制,乳腺癌骨转移脑转移用什么药可以治疗,0,breast_cancer
乳腺癌中期术后可以不化疗吗,乳腺癌中期已做切除根治手术不化疗可以吗？,1,breast_cancer
胆结石糖尿病患者能做手术吗,一型糖尿病可以做手术吗,1,diabetes
闵新生儿得了急性乙肝可以治愈吗,新生儿感染乙肝病毒怎么办,1,hepatitis
有慢性糜烂性胃炎，有糖尿病该怎么办？,请问糖尿病视网膜病变如何治疗,0,diabetes
乳腺癌转移扩散还能活多久,乳腺癌复发还能活多久？,0,breast_cancer
乳腺癌和乳腺增生怎么区别,乳腺癌和乳腺增生的特征和区别,1,breast_cancer
有高血压，脂肪肝，慢性胃炎怎么办,高血压糖尿病高血脂能吃胎盘吗,0,hypertension
乳腺癌晚期还能活多久呢,乳腺癌晚期还能活多久啊？,1,breast_cancer
我最近检查出得了糖尿病，能过性生活吗,糖尿病可以天天过性生活吗,1,diabetes
请再帮我分析早上空腹血糖为什么这样高的问题,我的家人患糖尿病多年，一直控制得还不错，但现在发现腿上有点开始溃烂，不知是不是糖尿病的并发症呢？该如何治疗，吃知蜂堂的蜂胶能有好转吗？望尽快回复！,0,diabetes
艾滋病主要通过什么途径传播,我想问一下艾滋病的传播途径，是不是你说那5点都会都会传播。谢谢,1,aids
乙肝疫苗第二针应该什么时候打具体天数,打乙肝疫苗的第三针时间上能够迟或者,1,hepatitis
什么是恶性高血压,恶性高血压的定义,1,hypertension
乙肝患者小便发黄怎么回事,没什么病症现在小便有些发黄,0,hepatitis
糖尿病人吃什么药能增强免疫力,糖尿病患者由于寒冷引起脚部溃烂如何治疗效,0,diabetes
高血压日常用电子或水银血压计哪个好,高血压怎么吃药好，什么时候吃药好！,0,hypertension
高血压有支气管炎怎么办,支气管炎能引起高血压么,0,hypertension
尿液有甜味能确定是糖尿病吗,2型糖尿病怎么治疗？,0,diabetes
高血压性脑出血的症状是？,您好，患高血压性脑出血三个月了，现在可以吃猪血吗,0,hypertension
我怎么分辨糖尿病是一型还是二型,病毒性糖尿病是一型糖尿病吗？怎么能治呢？,1,diabetes
糖尿病是不是不能性生活,女人糖尿病能性生活吗,1,diabetes
糖尿病症状有哪些,妊娠糖尿病诊断标准,0,diabetes
儿童糖尿病是否可以治愈,中医能治儿童1型糖尿病吗,0,diabetes
二型糖尿病人吃药好还是打针好,2型糖尿病治疗吃药好还是打胰岛素好？,1,diabetes
口水唾沫鼻涕痰能传播艾滋病吗,求脱恐问下带套和有艾滋病的人性行为会不会感染艾滋能痛过口水传播吗,0,aids
这样会被传染艾滋病么,这样传染艾滋病吗,1,aids
乳腺癌早期有可能有哪些症状,通常乳腺癌早期有哪些症状呀？,1,breast_cancer
糖尿病患者厌食该怎么办,得了糖尿病厌食怎么治疗,1,diabetes
糖尿病肾病人吃什么,我有痛风、糖尿病、高血压心脏病，请问如何注意饮食？,0,diabetes
伤口间接接触了艾滋病人的体液、血液、分泌物会被传染吗,要是带有艾滋病的唾液，分泌物，血，碰到了脸上芝麻大的伤口，这样会感染艾滋病吗,1,aids
这样会感染吗,艾滋病这样会感染吗,1,aids
请问糖尿病黎明现象怎么办？,糖尿病黎明现象怎么办,1,diabetes
糖尿病神经病变如何治疗,医生你好，我是那糖尿病能不能怀孕吗,0,diabetes
糖尿病手麻木是什么原因引起的,糖尿病肾病有什么症状,0,diabetes
请教我的乙肝六项化验单是什么意思,乙肝抗体三项都是阳性是什么意思,0,hepatitis
有艾滋病可以做爱吗,同性恋做爱的时候感染艾滋病的概率多大,0,aids
艾滋病人的血液干涸了还会传染吗,这样的血液会传染艾滋病吗,0,aids
如何指导糖尿病患者做好足部护理,医生你好，母亲有糖尿病和更年期该怎么治,0,diabetes
乙肝转阴是治好了吗,乙肝小三阳的表面抗原转阴算好了吗,0,hepatitis
糖尿病人有牙齿松动吃什么药？唐尿病会牙齿松动吗？,糖尿病人会牙齿松动吗，有什么方法治疗？,1,diabetes
乳腺癌脑转移先放疗还是先化疗,乳腺癌术后3个化疗可以做放疗吗,0,breast_cancer
糖尿病肾病的治疗原则有哪些？,糖尿病肾病可以治疗吗,1,diabetes
性生活对患有腿部动脉硬化、高血压的人的身体有影响吗？老公患有此病能经常过性生活吗？,高血压的人过性生活有多大的影响呢？,1,hypertension
目前儿童糖尿病可以治愈吗,儿童1型糖尿病能根治吗,1,diabetes
为什么我经常低血糖，反而被诊断了糖尿病？,请问我血糖是7.98是糖尿病,0,diabetes
近几天我时而头晕是不是和吃避孕药有关,高血压并有胃炎，经常四肢无力，怎么办？,0,hypertension
乙肝后肝硬化，体质虚弱，可以吃一些灵芝吗谢谢,野生灵芝治疗乙肝病毒携带如何吃效果最好,0,hepatitis
有糖尿病的人群可以做白内障手术吗,糖尿病人流汗是什么原因,0,diabetes
孕妇糖尿病是什么症状,妊娠糖尿病高危因素题,0,diabetes
妊娠期糖尿病怎么治疗,你好请问糖尿病患者达胰岛素游依赖性吗,0,diabetes
验糖耐量喝糖水后要注意什么?,糖耐量检查要注意什么,1,diabetes
打了乙肝疫苗没有产生抗体要紧吗,帮忙看下乙肝三系化验单怎样看的,0,hepatitis
心肌肥厚，高血压，怎么治疗，费用要多少,请问心包积液高血压气管炎的综合治疗疗程要多久？预计费用多少？,0,hypertension
艾滋病跟尖锐湿疣、梅毒有联系么,得过尖锐湿疣有可能得艾滋病吗,0,aids
乙肝携带者患糖尿病如何进行少量药物治疗,糖尿病能不能根治？吃什么好？禁忌吃什么？,0,diabetes
纹身会不会感染艾滋,有纹身感染艾滋病的案例吗,1,aids
低血压会的糖尿病吗,为什么低血糖会引起糖尿病？,1,diabetes
糖尿病人呕吐是怎么回事,糖尿病会使病人呕吐吗？,1,diabetes
艾滋病是什么样的情况,一般什么情况下有了艾滋病才知道，，，，，，。。。。。。。。什么情况下,0,aids
糖尿病人能注射葡萄糖注射液吗,我得糖尿病已经十年了，请问能抽烟吗,0,diabetes
2型糖尿病怎么治疗？,2型糖尿病吃什么药比较好,0,diabetes
乙型肝炎抗原血症是医保疾病吗,乙型肝炎抗原血症能吃蜂蜜吗,0,hepatitis
胆红素高有什么后果有什么方法,乙肝，胆红素高是什么原因怎么办,1,hepatitis
高血压可以吃咸菜吗,冠心病及高血压大量出汗和无力是怎么回事？,0,hypertension
高血压能不能吃咸菜，改改口味。,有去看过医生，医生说要我不能吃咸的，油腻的东西，但是我的心胸很闷这是为什么，应该要都吃什么可以进补。,1,hypertension
糖尿病足溃疡怎么治疗,糖尿病足已经溃烂有什么好的方法吗？,1,diabetes
预防孕期糖尿病的方法,由糖尿病并发症末梢神经炎怎么治疗？,0,diabetes
乙肝患者会有恶心，皮疹症状吗,乙肝患者出现黄疸的症状有哪些,1,hepatitis
这样会感染hiv吗,医师这样有可能感染hiv吗,1,aids
糖尿病怎么使用胰岛素,糖尿病病人如何正确使用胰岛素,1,diabetes
乙肝疫苗国产的和进口的差别大么,乙肝疫苗加强针和平时的乙肝疫苗是一样的吗,0,hepatitis
避孕套能预防艾滋病吗,用不法商家产的橡皮筋避孕套会得艾滋病吗,0,aids
苦瓜桑叶片治糖尿病吗,你好，吃苦瓜桑叶片能治好糖尿病吗。,1,diabetes
这种情况有可能会感染上艾滋病吗,我这个情况会感染艾滋吗,1,aids
乙肝病毒携带者可以打乙肝疫苗吗,A群流脑疫苗能和乙肝疫苗同时接种吗,0,hepatitis
这样会感染hiv吗,这样回感染上hiv吗,1,aids
糖尿病人适合哪些工作,糖尿病可以怀孕么,0,diabetes
糖尿病肾病可以怀孕吗,请问糖尿病患者可以做试管婴儿吗,0,diabetes
更年期高血压怎么治,更年期高血压怎么治疗？,1,hypertension
乙肝大三阳吃灵芝粉好吗,好我问问乙肝患者能服用灵芝粉吗,1,hepatitis
还没有结婚，可以用乙肝抗病毒药吗,乙肝婚检会检查出来么,0,hepatitis
糖尿病患者喝什么牛奶,糖尿病人能喝酸奶吗,1,diabetes
乳腺癌转移到脑部怎么办,乳腺癌转移到大脑了，该怎么办？,1,breast_cancer
艾滋病会通过接吻传染吗,接吻会感染艾滋病吗，非常恐惧,1,aids
高血压致中风偏瘫怎么治,高血压冠心病怎么办,0,hypertension
糖尿病患者瘦怎么回事,糖尿病人能用葡萄糖液打点滴吗,0,diabetes
在啊治疗高血压都有哪些偏方,高血压的患者能生小孩吗？,0,hypertension
高血压病的防治,高血压要如何防治呢,1,hypertension
冠心病糖尿病人的食谱,谢谢！请问查糖尿病应挂什么科,0,diabetes
乳腺癌转移扩散还能活多久,患上乳腺癌的患者还能活多久,0,breast_cancer
乳腺癌术后要切除卵巢吗,为什么患乳腺癌需要切除卵巢？,0,breast_cancer
患有高血压的老人贫血怎么办？,高血压病人贫血怎么办？,1,hypertension
艾滋病食疗（食补）方法有哪些,抗艾滋病药物治疗方法有哪些,0,aids
如何形成的乳腺癌,形成乳腺癌的病因有什么呢？,1,breast_cancer
糖尿病人为什么瘦呢？,糖尿病人怎么越来越瘦,1,diabetes
乳腺癌晚期怎么办,乳腺癌晚期的治疗,0,breast_cancer
糖尿病足分哪几种类型？,糖尿病足分类原则,1,diabetes
1型糖尿病的预防,我会不会得糖尿病？该如何预防？,0,diabetes
治疗乳腺癌切除卵巢有多大作用,治疗乳腺癌切除卵巢到底有多大作用？,1,breast_cancer
糖尿病1型有什么方法治疗啊？,糖尿病怎么治疗效果才能好的快,0,diabetes
糖尿病可以痊愈吗?,糖尿病是否能根治？,1,diabetes
避孕套能预防艾滋病吗,前天用过的避孕套昨天又用了一次会得艾滋病吗,0,aids
急求糖尿病足神经痛的治疗方法,糖尿病主要有哪治疗方法？,0,diabetes
胰岛素什么时候打最好,糖尿病能打胰岛素吗,1,diabetes
重型乙肝在哪就诊,乙肝病情加重，不知病情重到哪种地步，请诊断,0,hepatitis
乳腺癌切除手术后怎么治疗,乳腺癌切除手术后必须做化疗吗？,0,breast_cancer
糖尿病寿命会短吗,糖尿病会影响心情吗,0,diabetes
得了糖尿病后多久会得并发症,糖尿病多久会产生并发症,1,diabetes
请问高血压的危害是什么？,高血压的危险程度,1,hypertension
乙肝疫苗第一针与第二针之间时间多久,乙肝患者在怀孕期间打什么疫苗呢，什么时候打合适,0,hepatitis
乳腺癌晚期还能治好吗,乳腺癌晚期还好治愈吗,1,breast_cancer
糖耐量异常名词解释,糖适平（格列喹酮片）有没有毒性要注意什么,0,diabetes
糖尿病影响寿命么,糖尿病人得了左侧小脑梗塞能康复吗？,0,diabetes
我六年前打过疫苗和乙肝患者一起生活会被传染吗,跟乙肝患者一起生活会传染吗,1,hepatitis
有高血压和心脏病的患血管瘤该如何治疗,心脏病高血压有什么治疗方法,1,hypertension
糖尿病性心脏病饮食应注意什么,糖尿病酮体超标怎样降,0,diabetes
预防糖尿病并发症措施,怎么做才能预防和防治糖尿病并发症的出现,0,diabetes
高血压能打甲流疫苗吗,高血压，糖尿病能拔牙吗,0,hypertension
妊娠轻微糖尿病需要打胰岛素吗,糖尿病怀孕可以打胰岛素吗,1,diabetes
糖尿病人可以吃盐蛋吗,妊娠糖尿病患者吃什么好？,0,diabetes
这样会感染吗,这样能否导致艾滋病感染,1,aids
乙肝小三阳，dan阴性，肝功正常，唾液会传染吗,有抗体后还会感染乙肝吗,1,hepatitis
糖尿病可以做胰岛移植手术吗？,糖尿病酮症酸中毒和酮症的关系？,0,diabetes
经常吃面条的人.是否容易得糖尿病.,胰岛素笔芯的更换,0,diabetes
高血压190说不出话危险吗,高血压有哪些危害,1,hypertension
医生说要控制盐的用量我觉得没吃的咸啊,之前有高血压导致左基底轻微出血，请问能吃向天果还是辣木子来降血压吗？,1,hypertension
乙肝病毒携带者能熬夜看球赛吗,乙肝病毒携带者，但必须熬夜，需要注意些什么,0,hepatitis
糖尿病引起呕吐后怎么治疗,糖尿病并发泌尿系感染能吃什么水果,0,diabetes
我的糖尿病怎样治,糖尿病可以吃鸭肉吗,0,diabetes
孕妇什么时候做糖尿病筛查,糖尿病吃什么保健品好,0,diabetes
高血压，能偶尔吃点肉和，鱼肉吗,高血压能否吃牛肉,1,hypertension
725号乙肝疫苗第一针，问第三针是几月几号,注射乙肝疫苗后多久能喝酒间隔半月能打甲流疫苗吗,0,hepatitis
糖尿病需要终身吃药吗,糖尿病人终身服药吗,1,diabetes
乳腺癌脑转移症状有哪些,乳腺癌症状有哪些呀,0,breast_cancer
高血压吃药后头晕心慌怎么办,老年高血压患者能拔牙吗,0,hypertension
乳腺癌的硬块和乳腺增生的硬块有什么区别,我乳房有硬块是不是乳腺癌呢,0,breast_cancer
请问有糖尿病以及肺结核患者可以做疝气手,糖尿病人咳嗽了怎么办,0,diabetes
喝酒对高血压者有影响么,高血压病人能喝红酒吗，血压比较稳定了，喝少量有好处吗,1,hypertension
胰岛素泵是什么？,II糖尿病用胰岛素泵还是打胰岛素？,0,diabetes
糖尿病什么情况下需要打胰岛素,糖尿病饮食上什么能吃什么不能吃,0,diabetes
枸杞泡水喝，对乙肝患者来说好不好,乙肝能吃枸杞会怎样,1,hepatitis
糖尿病人主食应该吃什么,糖尿病病人主食有哪些,1,diabetes
想知道干细胞治疗糖尿病需要多少费用，,治疗糖尿病大概要多少钱？,1,diabetes
怀孕后能不能打乙肝疫苗,注射乙肝育苗是否影响怀孕,1,hepatitis
妊娠期糖尿病怎么治疗,妊娠糖尿病的控制方法,1,diabetes
肛交会传染艾滋病吗,口交会传染艾滋病吗肛交呢这二者都会产,0,aids
请问糖尿病患者可以吃山药吗,糖尿病的初始症状是什么,0,diabetes
乙肝五项检查费用多少谢谢,查乙肝检查费用多少,1,hepatitis
糖尿病足溃烂严重怎么办，现在速度发展快…,糖尿病上肢溃烂了怎么办,0,diabetes
伤口与艾滋病患者接触会传染吗,这种接触扎伤会不会传染艾滋病,0,aids
容易得糖尿病吗,总感觉心慌是得糖尿病了吗,0,diabetes
请问医生：糖尿病人可以吃蜂王浆吗?,糖尿病早期应什么治疗,0,diabetes
伤口与艾滋病患者接触会传染吗,怎么处理伤口才能不被艾滋病传染怎么处理伤口才能不被艾滋病传染,0,aids
乙肝带病毒和小三阳的概念一样吗,乙肝定量检测含义,0,hepatitis
带安全套和朋友做爱性交会感染艾滋病吗,没带安全套和小姐做爱会传染艾滋病吗要不要去医院化验,0,aids
小三阳，怀孕7个多月，要多久打一次乙肝免疫球蛋白,我忘记了孩子打几次乙肝疫苗怎么办,1,hepatitis
糖尿病什么东西能吃？什么东西不能吃？,糖尿病哪些食品不能吃,1,diabetes
检查有糖尿病征兆吃什么,糖尿病的征兆是什么？,1,diabetes
乙肝恶化有哪些症状，要怎样预防呢,有什么可以治疗乙肝携带者或预防恶化的药,0,hepatitis
早餐后不到一小时，尿糖有俩加号,我是二型糖尿病人。今天发现舌苔发黑是什么原因,0,diabetes
1希望知道是什么原因造成双腿发麻2有什么办法缓解并治疗发麻的症状,高血压可以吃鸭蛋和鹅蛋吗？有降压作用吗？,0,hypertension
糖尿病肾病能吃五香煮花生吗,糖尿病肾病患者可以吃土豆吗,1,diabetes
糖尿病能喝鱼汤吗,请问糖尿病人能喝小米汤吗？,1,diabetes
66岁有糖尿病高血压最近有的了脑血栓发现眼底出血不知道怎么办会不会失明,高血压会导致眼睛看不见吗？我奶奶一直都,1,hypertension
乳腺癌晚期骨转移严重吗,乳腺癌多发性骨转移怎么办,0,breast_cancer
糖尿病高危人群吃什么好,糖尿病高危人群应该如何采取健康生活方式？,1,diabetes
糖尿病人补血吃什么补品,现在哪家医院能治好较轻的糖尿病,0,diabetes
糖尿病都会有哪些并发症,糖尿病有什么并发症,1,diabetes
糖尿病并有尿蛋白的患者怎么办,糖尿病蛋白3+怎么办,1,diabetes
糖尿病不能喝牛奶,糖尿病引起腿浮肿怎么治,0,diabetes
中期乳腺癌的最佳治疗方法有什么,中期乳腺癌的最佳治疗方法,1,breast_cancer
糖尿病是否可吃鸡蛋,糖尿病患者可以喝奶吃鸡蛋吗,1,diabetes
医生，怀孕合并高血压怎么办呢,请问高血压是怎样引起的,0,hypertension
孕妇尿糖加4是糖尿病吗,尿糖阳性3能百分百确定就是糖尿病吗？,1,diabetes
有艾滋病可以做爱吗,同性做爱没带套得艾滋病的几率大吗,0,aids
尖锐湿疣会引发艾滋病吗,患者女，22岁。感染艾滋病急性期会得尖锐湿疣吗,0,aids
有艾滋病可以做爱吗,做爱不带安全套能感染艾滋病吗,0,aids
糖尿病可以吃荔枝吗？,糖尿病人宜吃哪些主食,0,diabetes
手淫自慰是否会感染艾滋病,能否从自己通过手淫而自己感染艾滋病,1,aids
1型糖尿病的发病原因有哪些,血糖仪试纸校正码是什么,0,diabetes
乳腺癌脑转移的患者能活多久,乳腺癌脑转移还有救吗？,0,breast_cancer
蜂王浆对乙肝有好处么,有乙肝又有脂肪肝问题严重吗该注意什么谢谢,0,hepatitis
乙肝表面抗体是怎么回事,乙肝三抗体怎么回事,1,hepatitis
性生活对糖尿病有危害吗？,治疗2型糖尿病的中成药有哪些？,0,diabetes
为什么我会得糖尿病,糖尿病是不是会应响性生活,0,diabetes
糖尿病足有哪些并发症,有二型糖尿病的患者，可以吃避孕药么。吃,0,diabetes
妊娠期糖尿病如何控制,妊娠糖尿病可以吃什么加餐,0,diabetes
糖尿病心脏病变,糖尿病心脏病什么是,1,diabetes
妊娠期糖尿病最高多少,妊娠糖尿病确诊控制血糖标准,1,diabetes
乳腺癌严重吗,乳腺癌严不严重啊？,1,breast_cancer
糖尿病筛查产检要多少钱,糖尿病筛查多少钱,1,diabetes
有高血压胆囊炎怎么治疗,胆囊炎病发想做手术有高血压做手术的危险,0,hypertension
糖尿病低血压怎么回事啊？,糖尿病运动治疗规则,0,diabetes
糖尿病并发症会导致失明吗？,糖尿病人看人会斜眼吗,0,diabetes
糖尿病如何治疗比较好呢？,我今有糖尿病、高血压病怎么治？,0,diabetes
糖尿病能不能吃栗子,糖尿病人能喝含蔗糖的保健品口服液吗？,0,diabetes
糖尿病生活方式干预,糖尿病性生活注意什么,1,diabetes
高血压吃什么药好？男女一样吗？,高血压该如何用药？,1,hypertension
高血压，糖尿病可以吃灵芝吗,我想知道高血压病人晕倒如何急救,0,hypertension
舌吻会传染艾滋病吗,与艾滋病患者舌吻会不会被传染而且他也是刚刚传染到我在几天内能否治愈,1,aids
糖尿病长期失眠去哪家医院治疗最好？,看糖尿病哪家医院好,1,diabetes
乳腺癌术后还需要化疗吗,您好，乳腺癌术后一定要化疗吗？,1,breast_cancer
糖尿病打哪种胰岛素好,糖尿病并发耳聋吗,0,diabetes
头晕憋气呕吐一次血压高请问是什么原因导致的有没有危险,高血压还有头晕、呕吐怎么办,1,hypertension
56岁糖尿病患者怎么用中药治疗?身体比较,糖尿病可吃阿胶吗,1,diabetes
糖尿病餐前尿糖正常，餐后两小时4个+号正常吗,糖尿病是怎么形成的,0,diabetes
糖耐量异常也会导致体重明显下降吗？,请问什么叫人为糖耐量损害,0,diabetes
乙肝表面抗原是12256是什么意思,乙肝表面抗原稍高是什么意思,1,hepatitis
妊娠期糖尿病月子里可以吃甜的吗,妊娠期糖尿病能吃石榴吗,1,diabetes
乳腺增生会引起乳腺癌吗,乳腺增生会转换成乳腺癌吗,1,breast_cancer
口交如何传染艾滋病,口交和舔阴会不会传染艾滋病了,1,aids
胰岛素可以报销吗？需要什么条件？,糖尿病可不可吃减肥药,0,diabetes
爱吃高甜食品会诱发糖尿病吗？,糖吃多了有何危害？会得糖尿病吗？,1,diabetes
妊辰期糖尿病食谱,糖尿病人咳嗽吃什么药白色的痰还有泡沫,0,diabetes
糖尿病打胰岛素最多打多少,糖尿病最多可以活多少年,0,diabetes
口交感染艾滋病的几率是多少,酒后口交是否感染艾滋病,0,aids
糖尿病患者可以长期使用胰岛素吗,糖尿病可以不长期注射胰岛素吗,1,diabetes
刚查出糖尿病，全身发冷，乏力是为什么？,我患糖尿病后，手脚冰凉，身上出汗，该怎,1,diabetes
乙肝大三阳的传播途径有哪些,商洛乙肝疫苗多少钱,0,hepatitis
糖尿病能割双眼皮吗,糖尿病可以割双眼皮吗,1,diabetes
乳腺癌中期术后可以不化疗吗,乳腺癌术后该不该化疗,0,breast_cancer
胖人容易引起糖尿病吗,痛风容易得糖尿病吗,1,diabetes
什么是妊娠期糖尿病,什么是妊娠糖尿病？,1,diabetes
糖尿病尿频是怎么回事,干细胞移植能否彻底根治糖尿病,0,diabetes
前列腺液会传播艾滋病吗,前列腺液中的hiv病毒含量高吗,1,aids
口交如何传染艾滋病,很多网友问男女口交到底会不会得艾滋病，或传染疾病,1,aids
身体接触是否会传染艾滋病,接触艾滋病人，是否会被传染,1,aids
乳腺癌骨转移疼痛怎么办,乳腺癌骨转移中药能缓解疼痛吗,0,breast_cancer
糖尿病需做哪些检查,糖尿病检查单怎么看,1,diabetes
乳腺癌晚期有什么症状,在乳腺癌的晚期有什么症状？,1,breast_cancer
高血压，血脂稠，胆固醇高怎么看呢？,高血压胆固醇吃什么药好,1,hypertension
艾滋病治疗（手术）费用多少,现在艾滋病治疗费大约多少钱一年,1,aids
乳腺癌肺部转移有什么治疗方案,乳腺癌转移到肺部怎么治,1,breast_cancer
我有高血压一年了，与更年期有关吗,高血压是否与更年期有关,1,hypertension
糖尿病浑身发冷是怎么回事,孕期糖尿病如何确诊？我这算是吗？怀孕2,0,diabetes
乳腺癌骨转移治疗方法,治疗乳腺癌骨转移的中药吗,0,breast_cancer
乳腺癌晚期怎样止痛,乳腺癌晚期怎么办呢？,0,breast_cancer
打完一针乙肝疫苗想要怀孕，还能打第二针吗,打完乙肝疫苗加强针后多久可以体检,0,hepatitis
乳腺癌中期有什么症状,得乳腺癌有什么症状,0,breast_cancer
乳腺癌骨转移有什么特效药,乳腺癌术后骨转移如何治疗？,0,breast_cancer
高血压胃溃疡应该注意什么？,高血压服用肠溶阿司匹林导致胃溃疡，治愈后,0,hypertension
胰高血糖素调节血糖升高的原理是什么？,请问糖尿病是怎样得的？,0,diabetes
1型糖尿病能喝酒吗,糖耐量异常会有什么危害？怎么控制？,0,diabetes
你们医院有乙肝免疫球蛋白吗多少钱一支,乙肝抗体多少需要注射乙肝疫苗,0,hepatitis
一型糖尿病人会遗传吗,糖尿病是否能吃鸡蛋,0,diabetes
糖尿病患者能吃狗肉和羊肉吗？,糖尿病人可以吃猪肉吗,1,diabetes
送糖尿病人什么样的保健品合适,我有妊娠糖尿病用地塞米送有没有什么副作,1,diabetes
乙肝患者为什么会出现黄疸,乙肝患者身上出现淤青是什么原因,0,hepatitis
这样会感染吗,我这样感染艾滋几率大吗,0,aids
伟力糖尿病治疗仪谁用过?效果怎么样,伟力糖尿病治疗仪有效果吗？,1,diabetes
乳腺癌肿瘤标志物都会升高吗,乳腺癌是什么组织肿瘤？,0,breast_cancer
乳房有肿块是不是乳腺癌,乳房有肿块，腋下有淋巴结，是乳腺癌吗？,1,breast_cancer
老年高血压患者浑身无力、气短、盗汗是什么原因，服用什么药物比较好？,高血压总是流口水是怎么回事,0,hypertension
我母亲有高血压与轻微脑萎缩怎么办我母亲有没有大的问题，有好办法治疗吗,求医问药脑梗、脑萎缩、心绞痛、高血压。怎么治疗？,1,hypertension
